mode,strategy,source_count,seed,all_cleared,cleared_count,clearance_ratio,per_source_s,total_time_s,program_runtime_s,termination_reason,failure,exit_failure,movement_s,measurement_s,switching_s,clearance_s
route_pool,实验组_第二版路线候选池,12,70261930,True,12,1.0,268.06307669920864,3216.7569203905036,1.814304000006814,all_cleared,,,2387.7569203905036,650.0,119.0,60.0
previous,对照组_上一版联合路线,12,70261931,True,12,1.0,284.8514118312207,3418.216941974648,0.6366780000025756,all_cleared,,,2508.2169419746488,715.0,135.0,60.0
route_pool,实验组_第二版路线候选池,12,70261931,True,12,1.0,283.2589381824932,3399.1072581899184,1.517182400006277,all_cleared,,,2615.1072581899184,610.0,114.0,60.0
previous,对照组_上一版联合路线,14,70262912,True,14,1.0,234.26920900135642,3279.76892601899,0.6073462999993353,all_cleared,,,2445.7689260189904,650.0,114.0,70.0
route_pool,实验组_第二版路线候选池,14,70262912,True,14,1.0,239.2426894081613,3349.3976517142582,1.9364224999953876,all_cleared,,,2630.3976517142587,550.0,99.0,70.0
previous,对照组_上一版联合路线,14,70262913,True,14,1.0,194.30915387386108,2720.328154234055,0.8327150999975856,all_cleared,,,1921.3281542340553,615.0,114.0,70.0
route_pool,实验组_第二版路线候选池,14,70262913,True,14,1.0,175.4610233264782,2456.454326570695,2.330939400002535,all_cleared,,,1793.4543265706945,500.0,93.0,70.0
previous,对照组_上一版联合路线,14,70262914,True,14,1.0,238.09668525525356,3333.35359357355,0.5798197999974946,all_cleared,,,2523.3535935735495,625.0,115.0,70.0
route_pool,实验组_第二版路线候选池,14,70262914,True,14,1.0,229.131675134888,3207.8434518884324,1.718672000002698,all_cleared,,,2498.843451888432,540.0,99.0,70.0
previous,对照组_上一版联合路线,14,70262915,True,14,1.0,241.51901359646087,3381.2661903504522,0.6479059000048437,all_cleared,,,2416.2661903504522,755.0,140.0,70.0
route_pool,实验组_第二版路线候选池,14,70262915,True,14,1.0,222.12311369435344,3109.723591720948,2.1402374999961467,all_cleared,,,2344.723591720948,585.0,110.0,70.0
previous,对照组_上一版联合路线,14,70262916,True,14,1.0,225.15717058243612,3152.200388154106,0.441417599999113,all_cleared,,,2338.200388154105,625.0,119.0,70.0
route_pool,实验组_第二版路线候选池,14,70262916,True,14,1.0,229.31000166475067,3210.3400233065095,1.8257666999998037,all_cleared,,,2475.3400233065104,560.0,105.0,70.0
previous,对照组_上一版联合路线,14,70262917,True,14,1.0,217.21800432222838,3041.0520605111974,0.5340983999994933,all_cleared,,,2212.0520605111988,640.0,119.0,70.0
route_pool,实验组_第二版路线候选池,14,70262917,True,14,1.0,215.63950375249647,3018.9530525349505,2.073913200001698,all_cleared,,,2295.953052534951,550.0,103.0,70.0
previous,对照组_上一版联合路线,14,70262918,True,14,1.0,250.39768034782918,3505.5675248696084,0.5936642000015127,all_cleared,,,2480.5675248696098,810.0,145.0,70.0
route_pool,实验组_第二版路线候选池,14,70262918,True,14,1.0,227.35936723728375,3183.0311413219724,2.3881702999933623,all_cleared,,,2446.031141321972,565.0,102.0,70.0
